name,3_grams_1,3_grams_2,3_grams_3
NewsTools,Created Text For,Text For URL,For URL [newsverge.com/2019/12/31/nigeria-diaspora-policy-underway-dabiri-erewa/]
zeptodoctor,build based on,based on 579e77f,on 579e77f
Poncho,checar rutas,rutas,
Eric Harris-Braun,remove signature verification,signature verification,verification
domedagenj,Delete dual_obj.png,dual_obj.png,
veganinthestreets,Merge pull request,pull request #1,request #1 from
EricDalrymple91,Update mushroom jerky,mushroom jerky table....yet,jerky table....yet again
Ken Kundert,Run flake8 linter,flake8 linter and,linter and fix
Ken Kundert,bump version to,version to 1.12.3,to 1.12.3
Stepan Koltsov,Mute warning,warning,
NewsTools,Created Text For,Text For URL,For URL [www.nan.ng/news/why-we-arrested-sen-shehu-sani-efcc-confirms/]
fernandohernandezpaz,cambiando eje de,eje de graficacion,de graficacion para
Matt Cavallo,Update NET_Framework_Check.psm1,NET_Framework_Check.psm1,
wessilfie,rebuild pages,pages,
Jose24San,updated the way,the way history,way history tab
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
NewsTools,Created Text For,Text For URL,For URL [newsverge.com/2019/12/31/troops-to-enjoy-improved-welfare-package-in-2020-buratai/]
Knut Ahlers,Fix: TotalTransportedWeight seems,TotalTransportedWeight seems to,seems to be
Stefan Eiermann,Update PartitialAjax.js,PartitialAjax.js,
Jake,Delete a,a,
GreatGitWall,Update,,
sapeled3,[add] notification remove,notification remove after,remove after unlike
Sapele Moses,Merge pull request,pull request #15,request #15 from
I'm Whedon,Creating 10.21105.joss.01825.pdf,10.21105.joss.01825.pdf,
Berend de Boer,Fix typo,typo,
Berend de Boer,Format requirements properly,requirements properly,properly
Berend de Boer,Make examples as,examples as well,as well
Berend de Boer,More files it,files it ignore,it ignore
Berend de Boer,File reformatted,reformatted,
Berend de Boer,Update location of,location of manual,of manual
Eugene Koontz,~je: wrap in,wrap in vector,in vector as
Eugene Koontz,~*/compiled.edn: add dependencies,add dependencies,dependencies
Aishwarya Pawar,Delete setBsplineGrid_func.m,setBsplineGrid_func.m,
Nick Mitchell,feat(plugins/plugin-kubeui): kubectl top,"kubectl top support

Fixes","top support

Fixes #169"
NewsTools,Created Text For,Text For URL,For URL [www.nan.ng/news/new-year-omo-agege-tasks-nigerians-to-build-bridges/]
JasonZhou404,Planning: pass st_bounds_decider's,pass st_bounds_decider's mappings,st_bounds_decider's mappings to
JasonZhou404,Planning: skip keep,skip keep clear,keep clear logic
JasonZhou404,Planning: disable checkoverlap,disable checkoverlap in,checkoverlap in dp
Xiangquan Xiao,HMI: Add storytelling,Add storytelling module.,storytelling module.
JasonZhou404,Planning: param tunnings,param tunnings for,tunnings for faster
Xiangquan Xiao,Tick: Retire unused,Retire unused module.,unused module.
Xiangquan Xiao,HMI: Retire Tick,Retire Tick module.,Tick module.
panjiacheng,Planning: side-pass stop,side-pass stop bug,stop bug fix.
panjiacheng,Planning: set IGNORE,set IGNORE decisions,IGNORE decisions in
panjiacheng,Planning: trim overtaken,trim overtaken obstacles,overtaken obstacles properly.
panjiacheng,Planning: bug fix,bug fix with,fix with DEST
panjiacheng,Planning: fix integration,fix integration tests.,integration tests.
wfgsy101, add dev_kit,add dev_kit config,dev_kit config files
wfgsy101, update the,update the dev_kit,the dev_kit directory
sjiang2018,Planning: skip path_reuse,skip path_reuse when,path_reuse when not
michael4338,Paladin: add validations,add validations for,validations for input
michael4338,address comments,comments,
michael4338,print error logs,error logs instead,logs instead of
JasonZhou404,Planning: ignore UNKNOWN,ignore UNKNOWN and,UNKNOWN and KEEPCLEAR
JasonZhou404,Planning: bug fix,bug fix on,fix on GetUnblockSRange()
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
ericmassara,Update index.html,index.html,
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/i-will-certainly-stick-with-him-chelsea-boss-lampard-defends-hudson-odoi-from-criticism-on-social-media/]
Aaron Roller,master git checkout,git checkout is,checkout is required
michaelfdickey,text entry box,entry box working,box working now
DevTools Bot,Update stats (via,stats (via travis,(via travis cron)
Tyler Thome,build-local,,
William Buck,Merge pull request,pull request #297,request #297 from
Birgerev,threaded world saving,world saving,saving
Birgerev,Threaded Entity saving,Entity saving,saving
Anthony Holder,Automatically backed up,backed up by,up by Learn
Diogo Ribeiro,"structural upgrades
- make","upgrades
- make it",make it easier
jerome-wilson-developer,added git-pages and,git-pages and netlify,and netlify web
zack,/ ‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,2017.md’
GoSeungUk,bossDB,,
RhXKGxbwQHmTREDU,48622164,,
albertgoncalves,path only for,"only for linux,","for linux, for"
yuriy8625,error multiselect,multiselect,
Sumaira Afzal,Random Forest,Forest,
Brokalys bot,Monthly price per,price per sqm,per sqm data
GitHub Actions Bot,Updated heatmap,heatmap,
Alex,can rotate player,rotate player,player
Sean DuBois,Allow certificate generation,certificate generation bits,generation bits to
chehefen,Merge branch 'master',branch 'master' into,'master' into felix-dev
Aishwarya Pawar,Delete setBsplineGrid_func_withoutNode.m,setBsplineGrid_func_withoutNode.m,
Daniel Menchaca Luna,Fix typo,typo,
Daniel Menchaca Luna,Se agrega mappeo,agrega mappeo para,mappeo para trabajar
Max Isom,Collapse navbar sooner,navbar sooner,sooner
ww,add process mutil-cpu,process mutil-cpu bug,mutil-cpu bug
John Hollowell,Update ha-vs-hassio.markdown,ha-vs-hassio.markdown,
Travis,[Autosave] Testing for,Testing for Ultimate,for Ultimate Hosts
Southern Outpost,Create 2019-12-31-so20.md,2019-12-31-so20.md,
jekyllvn,Update footer.html,footer.html,
Cal Stephens,Add Inflation Calculator,Inflation Calculator blog,Calculator blog post
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/watch-tiwa-savages-wild-performance-at-the-marlians-fest/]
rajashree,Update CRB and,CRB and RB,and RB if
Prachi Damle,Change the etcd,the etcd dir,etcd dir permissions
Denise,Merge pull request,pull request #24807,request #24807 from
TheLimeGlass,API save,save,
Nicolas Botello,refactor types,types,
Nicolas Botello,add a general,a general type,general type for
Nicolas Botello,fix linting issue,linting issue,issue
Nicolas A. Botello Jr,Merge pull request,pull request #10,request #10 from
benleelewis,Add notebook,notebook,
dtr,Update at 1577839901479,at 1577839901479,1577839901479
Sonya McCree,project updates 31,"updates 31 december

working","31 december

working on"
Ola Hallengren,Update LICENSE,LICENSE,
Aishwarya Pawar,Delete storeActiveElem.m,storeActiveElem.m,
SnackKing,Added tradetester page,tradetester page,page
Shira Maximov,Updated hammer_cli to,hammer_cli to 0.19.1,to 0.19.1
xixuecao,61 Rotate List,Rotate List,List
awy2020,Create dd.md,dd.md,
vAporInside,Update Readme.md,Readme.md,
NewsTools,Created Text For,Text For URL,For URL [newsverge.com/2019/12/31/new-year-fct-minister-assures-residents-of-better-security-of-lives-properties/]
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/naira-marley-floats-own-record-label-signs-zinoleesky-mohbad-cblack-fabian/]
BlackTecno,Add files via,files via upload,via upload
Rich,Update README.md,README.md,
Jinhang's workout chart,Create 2019 workout,2019 workout log,workout log
Minsu Han,set initial files,initial files,files
John Schumacher,image,,
encgoo,Add files via,files via upload,via upload
keptn,Added resources,resources,
Abd Asis,add background on,background on register,on register form
Zachary Jacobs,Automatically backed up,backed up by,up by Learn
ZhongGuiyong,Optimize the Mobile,the Mobile Nav.,Mobile Nav.
The Tester,Add report,report,
GitClock,update time,time,
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/prosecutors-seek-year-in-jail-for-algerias-richest-man/]
Nathan Thimothe,ttc,,
NewsTools,Created Text For,Text For URL,For URL [newsverge.com/2019/12/31/new-year-we-remain-committed-to-stronger-delta-okowa/]
Aishwarya Pawar,Delete storeBasisArray.m,storeBasisArray.m,
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-dropbox
Already"
daneshchacko,Create Metadata of,Metadata of P165,of P165 Tanjung
dtr,Update at 1577839901623,at 1577839901623,1577839901623
tri angga utama,tambah filter item,filter item cetak,item cetak
n4Nax,Update externalserver2.html,externalserver2.html,
limin0801,Upload by PicGo,by PicGo,PicGo
DsTyM,AvailablePharmacy (class) entity,(class) entity created,entity created
Genevieve Warren,review on staging,on staging,staging
Deployment Bot (from Travis CI),Deploy projectEndings/staticSearchSite to,projectEndings/staticSearchSite to github.com/projectEndings/staticSearchSite.git:master,to github.com/projectEndings/staticSearchSite.git:master
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/guardiola-on-how-man-city-can-catch-liverpool-work-harder-play-better-and-pray/]
Paul Brady,Make DIST directory,DIST directory pushable,directory pushable to
NewsTools,Created Text For,Text For URL,For URL [newsverge.com/2019/12/31/sanwo-olu-signs-n1-17trn-2020-budget-into-law/]
Robin Giese,Gardening: make package,make package command,package command names
Robin Giese,Fix bit math,bit math bug,math bug
Robin Giese,Support decoding flatbuffer,decoding flatbuffer config,flatbuffer config
Robin Giese,Improve invalid config,invalid config data,config data debugging
Robin Giese,Gardening: simplify code,simplify code,code
Robin Giese,Modify Z85 dictionary,Z85 dictionary to,dictionary to account
Andre Masella,WIP,,
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:51:54
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-marshal
Excluded"
Abe Winter,closing P,P,
Turnip1234,update9,,
Aishwarya Pawar,Delete one,one,
Truong Nguyen`,Update data file,data file at:,file at: 2020-01-01T00:51:56.144Z
froehlichA,add common home,common home,home
froehlichA,add Anonymice and,Anonymice and Fantasque,and Fantasque fonts
keptn,Added resources,resources,
jenkins-x-bot,Publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/bdd-spring-1577839158/PR-1/2.log
Amirali Sharifian,Add introduction figures,introduction figures,figures
NewsTools,Created Text For,Text For URL,For URL [newsverge.com/2019/12/31/court-returns-adokes-file-to-cj-over-alleged-1-2bn-malabu-oil-scam/]
German,cost transformation function,transformation function edited,function edited
OPSTestProduction,delete file xref-prod/xrefmap_testbranch_live.yml,file xref-prod/xrefmap_testbranch_live.yml at,xref-prod/xrefmap_testbranch_live.yml at 2020-01-01
Yaiyan,Minor fix to,fix to height,to height of
alyssa_7,Update README.md,README.md,
Scott Redig,progress,,
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-py
Excluded"
Renovate Bot,Update dependency flow-bin,dependency flow-bin,flow-bin
OPSTestProduction,Create a file,a file E2E_DocsBranch_Prod_Dynamic/index.yml,file E2E_DocsBranch_Prod_Dynamic/index.yml at
Marcos Minond,entry controller does,controller does not,does not depend
Marcos Minond,fixing processor test,processor test helper,test helper module
UdjinM6,Wed Jan ,Jan  1, 1 00:48:24
Jaz Singh,Update README,README,
Travis,[Autosave][Dead-Hosts::repository-structure],,
Aishwarya Pawar,Delete computeCoeffMat.m,computeCoeffMat.m,
sourceconnect-tests,e2e test 2020-01-01T00:51:42.645632,test 2020-01-01T00:51:42.645632,2020-01-01T00:51:42.645632
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Updates,,
Harsh Patel,Merge remote-tracking branch,remote-tracking branch 'refs/remotes/origin/gh-pages',branch 'refs/remotes/origin/gh-pages' into
hrsh38,Merge pull request,pull request #1,request #1 from
Charles E. Thornton,Created README and,README and LICENSE,and LICENSE Files
BEugeneSmith,style updates,updates,
Chmouel Boudjnah,Doc update,update,
David,Update index.js,index.js,
Jack Murphy,Update index.html,index.html,
Demarius Edwards,Automatically backed up,backed up by,up by Learn
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-scripts
Already"
SockPuppetry,Travis CI build,CI build 187071,build 187071
Linus Waddell,Update master.css,master.css,
Jenkins Toucan Toco,Automatic update of,update of value.json,of value.json
BBiBoot,bossDB,,
Melanie McGlynn,Automatically backed up,backed up by,up by Learn
Austin Gil,Adding project name,project name,name
Austin Gil,Fixed borders &,borders & sizes,& sizes
Aishwarya Pawar,Delete Tmatrix.m,Tmatrix.m,
Brayden Marshall,Went through entire,through entire vimrc,entire vimrc and
Logan Ralston,Highlight link of,link of active,of active page
Demarius Edwards,Automatically backed up,backed up by,up by Learn
skullbe,0.10,,
npm gh-pages,Updates,,
michael sandoval,solved the issue,the issue of,issue of rendering
wz5mz,Update test.py,test.py,
Travis,[Autosave] Testing for,Testing for Ultimate,for Ultimate Hosts
Weave Flux,Auto-release 164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:3b279312,164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:3b279312,
Stephan Risi,deleted old preprocessing,old preprocessing files,preprocessing files
Stephan Risi,Merge pull request,pull request #59,request #59 from
Stephan Risi,Merge branch 'master',branch 'master' into,'master' into update_person_people_db
Stephan Risi,"fixing up name_preprocessing

I","up name_preprocessing

I know","name_preprocessing

I know I"
Stephan Risi,minor fixes to,fixes to make,to make tests
Stephan Risi,fixed django tests,django tests,tests
Stephan Risi,Merge pull request,pull request #62,request #62 from
Stephan Risi,Merge remote-tracking branch,remote-tracking branch 'origin/master',branch 'origin/master' into
Stephan Risi,happy new years,new years eve,years eve
canihavesomecoffee,Correct fail,fail,
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Ssuccess-only:,-Dorg -Ssuccess-only: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-web
Excluded"
Jinhang's workout chart,Rename 2019 workout,2019 workout log,workout log to
superj80820,2020-01-01-00-52-03,,
Peiling Ding,Update for 2019-12-31,for 2019-12-31,2019-12-31
nprindle,Add mapping in,mapping in nix,in nix files
getgads,tunning,,
Demarius Edwards,Automatically backed up,backed up by,up by Learn
Charles Provencher,Dispatchfile: initial commit,initial commit with,commit with test
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/arikana-chihombori-quao-a-profile-in-courage/]
qcu87z,imported vars/main.yml,vars/main.yml,
Spencer Dent,+spriteFunctions,,
Jonathan Boiser,Fix a-function commands,a-function commands for,commands for JS
t9md,Merge pull request,pull request #1134,request #1134 from
Erik Alfvin,Responsive header sizes,header sizes for,"sizes for mobile,"
Snoopy Crime Cop,"Update master submodules

Repository:","master submodules

Repository: ome/omero-python-superbuild
Already","submodules

Repository: ome/omero-python-superbuild
Already up-to-date.

Repository:"
Snoopy Crime Cop,merge master -Dorg,master -Dorg -Snone:,-Dorg -Snone: PR
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Snone

Repository:","-Dorg -Snone

Repository: ome/omero-python-superbuild
Already"
Snoopy Crime Cop,merge master -Dorg,"master -Dorg -Ssuccess-only

Repository:","-Dorg -Ssuccess-only

Repository: ome/omero-python-superbuild
Already"
Egor Tensin,support the power,the power (^),"power (^) operator

It"
Egor Tensin,parser: refactoring,refactoring,
Egor Tensin,parser: support unary,support unary +,unary +
Egor Tensin,parser: make ^,make ^ operator,^ operator higher
Egor Tensin,test: add more,add more parser,more parser tests
qbert,Update default.html,default.html,
vade,Use -gt for,-gt for strip,for strip logic
vade,Use -gt to,-gt to fix,to fix build
simiyen,half of mac,of mac complated,mac complated
Aishwarya Pawar,Delete Refine3D_truncation.m,Refine3D_truncation.m,
SatusNovandi,update,,
jellyfish12jellyfish,some changes,changes,
AsteroidTracker,AsteroidTracker Update News,Update News,News
Joel Parker Henderson,Reword demo tags,demo tags as,tags as per
Joel Parker Henderson,Refactor demo from,demo from attributes,from attributes to
Joel Parker Henderson,Add demo people,demo people,people
Joel Parker Henderson,Add demo questions,demo questions,questions
Joel Parker Henderson,Reweord demo questions,demo questions,questions
Joel Parker Henderson,Add demo capability,demo capability to,capability to change
Joel Parker Henderson,Add demo re-calculation,demo re-calculation re-render,re-calculation re-render
Joel Parker Henderson,Reword demo tags,demo tags as,tags as per
Joel Parker Henderson,Refactor demo from,demo from attributes,from attributes to
Joel Parker Henderson,Add demo people,demo people,people
Joel Parker Henderson,Add demo questions,demo questions,questions
Joel Parker Henderson,Reweord demo questions,demo questions,questions
Joel Parker Henderson,Add demo capability,demo capability to,capability to change
Joel Parker Henderson,Add demo re-calculation,demo re-calculation re-render,re-calculation re-render
Joel Parker Henderson,Rechoose demo no-entry,demo no-entry character,no-entry character
Joel Parker Henderson,Merge branch 'tomdemo',branch 'tomdemo' of,'tomdemo' of github.com:hackforla/shared-housing
tylerthome,Merge pull request,pull request #294,request #294 from
William Buck,Updated server requirements.txt,server requirements.txt,requirements.txt
tylerthome,Merge pull request,pull request #296,request #296 from
Tyler Thome,build-local,,
Soup-de-Loop,"Last travis error

Missed","travis error

Missed a","error

Missed a double"
qronix,Refactored login form,login form to,form to register
Demarius Edwards,Automatically backed up,backed up by,up by Learn
mokumus,Happy new year,"new year commit,","year commit, also"
Brian Lai,Create package.json,package.json,
shadowgritz,added identifyPhotoFolder.py,identifyPhotoFolder.py,
Renovate Bot,Update dependency find-cache-dir,dependency find-cache-dir to,find-cache-dir to ^3.2.0
ripamf2991,Update README.md,README.md,
"Nicolas ""Pixel"" Noble",Slightly moving a,moving a signal.,a signal.
donaldsouza,message_2020-01-01T00:52:14,,
Tiffani,add footer to,footer to art,to art page
Tiffani,add footer to,footer to blog,to blog and
Tiffani Elmore,Merge pull request,pull request #5,request #5 from
Vish Potnis,added default flask,default flask env,flask env file
Vish Potnis,update requirements.txt for,requirements.txt for dotenv,for dotenv pkg
Vish Potnis,update gitignore to,gitignore to include,to include vscode
Vish Potnis,added initial dir,initial dir structure,dir structure and
ripamf2991,2020-01-01,,
daniel-farkas-dev,Create input,input,
Burgess Chang,Update copyright,copyright,
ChordWiz@swc_20180076,add mysql,mysql,
Hasan Unlu,main.c is added,is added,added
tao.lu,Happy New Year,"New Year 2020
I","Year 2020
I did"
Anurag Kumar,Update server.js,server.js,
mhandipranata,Result image added,image added to,added to README.md
Kevin Deng,Updates,,
Aishwarya Pawar,Delete KnotInsert.m,KnotInsert.m,
Sanyam Kapoor,Remove CLI module,CLI module,module
Sanyam Kapoor,Migrate DDPG to,DDPG to new,to new modules
Fitor Bogi Irawan,membuat file test,file test baru,test baru .txt
ripamf2991,Update nsc413.md,nsc413.md,
ericmassara,Update index.html,index.html,
ripamf2991,2020-01-01,,
eGust,updated,,
Matthew Mingde Zeng,Use document.documentElement.clientHeight to,document.documentElement.clientHeight to scroll,to scroll page
Johan,chore: move chord,move chord finder,chord finder &
slskopytko,rdqgjaevwy,,
ripamf2991,Update nsc413_2.md,nsc413_2.md,
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/mino-raiola-aims-incredible-dig-at-man-united-i-wouldnt-take-anyone-there-they-would-ruin-maradona-pele/]
Talon Poole,docs(README): super important,super important final,"important final badge

lmfao"
kelypso,Done.,,
Zachary Jacobs,Automatically backed up,backed up by,up by Learn
LyghtningWither,Update CurrentVersionNumber,CurrentVersionNumber,
andrew,202001010851,,
guadguadt,update,,
TigerMuskellunge,Update Lakes.css,Lakes.css,
Li Yin,Update README.md,README.md,
Håvar Henriksen,Pontoon: Update Norwegian,Update Norwegian Bokmål,Norwegian Bokmål (nb-NO)
ripamf2991,2020-01-01,,
ripamf2991,Update nsc413_3.md,nsc413_3.md,
Matthew Mingde Zeng,Use document.documentElement.clientHeight to,document.documentElement.clientHeight to scroll,to scroll page
zackees,adds google site,google site map,site map
limin0801,Upload by PicGo,by PicGo,PicGo
Cms Build,New report generated,report generated 20200101-0152,generated 20200101-0152
otiny,update,,
guadguadt,update,,
mbatoul,Write historical data,historical data script,data script
NewsTools,Created Text For,Text For URL,For URL [naijanewsagency.com/happy-new-year-how-to-achieve-life-changing-resolutions/]
ripamf2991,Update nscrw413.md,nscrw413.md,
Sharma,updated sever proxy,sever proxy,proxy
serik1987,Added loading metadata,loading metadata from,metadata from the
Scott Matsuda,Automatically backed up,backed up by,up by Learn
Tobias Briones,Update README.md,README.md,
otiny,update,,
guadguadt,update,,
Valerio Proietti,actual readme,readme,
Rheinard Korf,fix(@aws-amplify/auth): #3855 add,#3855 add identityPoolRegion,add identityPoolRegion to
Aryan J,fix(aws-amplify): delete unused,delete unused AmazonAIPredictionsProvider,unused AmazonAIPredictionsProvider import
Dustin Noyes,fix(#4586) (#4614),(#4614),
Praveen Gupta,fixes #4225 decouple,#4225 decouple local,decouple local storage
Dustin Noyes,"Issue4449 (#4480)

* switching","(#4480)

* switching branches

*","switching branches

* changing"
elorzafe,fix(@aws-amplify/pubsub) reconnect issue,reconnect issue (#4618),issue (#4618)
Praveen Gupta,Merge branch 'master',branch 'master' into,'master' into upgrade-graphql
ripamf2991,Update prog202_1.md,prog202_1.md,
Juliano Dorigão,"menubg

Signed-off-by: Juliano Dorigão",Juliano Dorigão <jdorigao@gmail.com>,Dorigão <jdorigao@gmail.com>
Carlos Cornejo,laravel/ui,,
eschul07,Update README.md,README.md,
ripamf2991,Update n24hr.md,n24hr.md,
Sean DuBois,"Add PeerConnectionFunctionalityTest.exchangeMedia

Create two","PeerConnectionFunctionalityTest.exchangeMedia

Create two PeerConnections",two PeerConnections and
Xackery Xtal,Added tag support,tag support,support
Alex Castells,task(lgtm) add static,add static code,static code analyzer
GitHub Actions,automatic commit,commit,
guadguadt,update,,
balace ballack,Improved server management,server management of,management of Gallery
otiny,update,,
ripamf2991,Update prog207_1.md,prog207_1.md,
mattdeitke,Fix BrokenPipeError caused,BrokenPipeError caused by,caused by FFMPEG
Dilip Sundarraj,removed the unwanted,the unwanted tests,unwanted tests
Estefano Salazar,"Added ""Simbel"" e-commerce","""Simbel"" e-commerce application.",e-commerce application.
Estefano Salazar,Fixed icon name,icon name on,name on apps.json
Amirhossein,Update apps.json,apps.json,
Amirhossein,Merge pull request,pull request #1,request #1 from
Fazlur Rahman,Add OrderOnline App,OrderOnline App,App
Matteo Giaccone,Add DatoCMS,DatoCMS,
q--,SVG logo for,logo for Red,for Red Hat
Paul Phan,Add PageFly -,PageFly - Landing,- Landing Page
Arnaud Ligny,"Catch Cecil version

1.","Cecil version

1. _PHPoole_","version

1. _PHPoole_ is"
Hendrik Söbbing,Add detection patterns,detection patterns for,patterns for Shopware
Ali Aghaie,update Shopfa icon,Shopfa icon,icon
q--,Update Red Hat,Red Hat URL,Hat URL to
q--,Add decimal.js,decimal.js,
q--,"Detect Ez Platform,","Ez Platform, update","Platform, update (legacy)"
q--,Fix Symfony version,"Symfony version detection

Changed	`(?:<other","version detection

Changed	`(?:<other patttern>|<pattern"
Abhinav,Add ExpertRec Site,ExpertRec Site Search,Site Search
Websale,Changes for Websale-Recognition,for Websale-Recognition,Websale-Recognition
Websale,Merge pull request,pull request #1,request #1 from
汪心禾,Update messages.json,messages.json,
みかんのめがね,"Add Japanese Language

I've","Japanese Language

I've added","Language

I've added the"
noahfranco,site is mobile,is mobile responsive,mobile responsive and
skennicutt,heading test,test,
Bruno Barcarol Guimarães,wip,,
bulexu,输出节点信息,,
ripamf2991,Update prog204_1.md,prog204_1.md,
Devin Halladay,"Fix issues, get","issues, get user",get user auth
Devin Halladay,starting api stuff,api stuff,stuff
Devin Halladay,uh,,
Devin Halladay,baby's first api,first api,api
ripamf2991,Update ncyule.md,ncyule.md,
Lee Bardon,Automatically backed up,backed up by,up by Learn
Markus Schirp,"Fix readme badges

*","readme badges

* Drop","badges

* Drop defunct
*"
5john,2020/01/01 00:52:29 ,00:52:29  ,  
Miles P Livermont,Update README.md,README.md,
otiny,update,,
Mircea (Mark) Halmagiu,updated README,README,
Mircea (Mark) Halmagiu,using the issues,the issues API,issues API instead
Renovate Bot,Add renovate.json,renovate.json,
ripamf2991,Update prog208_1.md,prog208_1.md,
ripamf2991,Update nsc1002.md,nsc1002.md,
thelamer,bugfix for neon,for neon,neon
Antony Messerli,Merge pull request,pull request #470,request #470 from
LaughingBudda,Added member aditya,member aditya,aditya
Gabriel Chen,Merge pull request,pull request #2,request #2 from
underunderstood,[AIRTABLE-GITHUB-EXPORT] update mcflurry.geojson,update mcflurry.geojson,mcflurry.geojson
ripamf2991,Update prog209_1.md,prog209_1.md,
Alexandre-T,Using symfony/flex and,symfony/flex and SYMFONY_REQUIRE,and SYMFONY_REQUIRE
otiny,update,,
ripamf2991,Update news392.md,news392.md,
cgschu1tz,plugins were a,were a giant,a giant waste
LesLiu94,"added Domain Objects,","Domain Objects, Enums,","Objects, Enums, and"
Allison Chou,"Implemented fix, to-do:","fix, to-do: Fix",to-do: Fix tests
Allison Chou,Fixed tests +,tests + refactoring,+ refactoring
Allison Chou,Changes based on,based on feedback,on feedback
Allison Chou,Merge pull request,pull request #40651,request #40651 from
Hazem,Add python-to-exe project,python-to-exe project,project
Rohit Garudadri,Fixed login button,login button flashing,button flashing (#780)
Logan Ralston,Highlight link of,link of active,of active page
Loreina Chew,Merge branch 'develop',branch 'develop' into,'develop' into bug/231-helmet
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.183,release java-8-base-0.183
osrsbox,"Updated monster database
*","monster database
* Push","database
* Push PyPi"
ripamf2991,Update prog210_1.md,prog210_1.md,
Menny Even Danan,Update README.md,README.md,
ripamf2991,Update news392_2.md,news392_2.md,
otiny,update,,
xqrzd,Multi-target new runtimes,new runtimes to,runtimes to enable
ripamf2991,Update prog211_1.md,prog211_1.md,
mawork1,this is the,is the thrid,the thrid file
Gavin Howard,Fix the main,the main source,main source file
ripamf2991,Update news2007.md,news2007.md,
Ocean-ey,"Update !code description

!code","!code description

!code no","description

!code no longer"
Ocean-ey,Merge pull request,pull request #1,request #1 from
laurent,add .env.example,.env.example,
sabarish.sasidharan,User story #2002,story #2002,#2002
Ri Xin Yang,Automatically backed up,backed up by,up by Learn
ripamf2991,Update prog202_2.md,prog202_2.md,
The Tester,Add report,report,
Scott Matsuda,Automatically backed up,backed up by,up by Learn
ripamf2991,Update news2008.md,news2008.md,
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
Peter Davison-Reiber,Title in Greek,in Greek test,Greek test
otiny,update,,
Lee Bardon,Automatically backed up,backed up by,up by Learn
